id,town,start_Longitude,start_Latitude,end_Longitude,end_Latitude
7195,Hawkins,-73.9577713012695,40.7177696228027,-73.9264984130859,40.7055206298828
4844,Hawkins,-73.9739837646484,40.7504043579102,-73.8729248046875,40.7743263244629
2402,Hawkins,-73.9771499633789,40.7516555786133,-73.9813079833984,40.7827110290527
6996,Hawkins,-73.984489440918,40.7368621826172,-73.960563659668,40.7695617675781
4207,Hawkins,-73.9766159057617,40.7906875610352,-73.9742813110352,40.783519744873
5378,Hawkins,-73.9903793334961,40.7403526306152,-73.9963226318359,40.7380790710449
5250,Hawkins,-73.9849624633789,40.757007598877,-73.9595718383789,40.7752647399902
6944,Hawkins,-73.9983062744141,40.7452201843262,-73.9760131835938,40.7864608764648
7057,Hawkins,-74.0039215087891,40.7256355285645,-74.0076370239258,40.7408866882324
2998,Hawkins,-73.97265625,40.7646102905273,-73.9827575683594,40.7614097595215
3532,Hawkins,-73.9650726318359,40.7601013183594,-73.9805221557617,40.747501373291
1906,Hawkins,-73.9519805908203,40.7693977355957,-73.9733047485352,40.7486801147461
4809,Hawkins,-73.9753952026367,40.7870559692383,-73.9400177001953,40.8412399291992
4022,Hawkins,-73.9942092895508,40.7322044372559,-73.9893264770508,40.7479019165039
2147,Hawkins,-73.9799957275391,40.7543563842773,-73.9848251342774,40.7482490539551
4021,Hawkins,-73.9883651733399,40.7374114990234,-73.9793472290039,40.7523422241211
3915,Hawkins,-73.9538955688477,40.7749671936035,-73.9543914794922,40.7835350036621
4637,Hawkins,-73.9611053466797,40.7188911437988,-73.9205474853516,40.697135925293
851,Hawkins,-73.9784545898438,40.7481231689453,-73.9880676269531,40.7378005981445
3858,Hawkins,-74.0128402709961,40.7027702331543,-73.9780654907227,40.7421073913574
2989,Hawkins,-73.9951019287109,40.7209701538086,-74.0044784545898,40.741455078125
7582,Hawkins,-74.0029067993164,40.7400283813477,-73.9779815673828,40.7548027038574
3007,Hawkins,-73.9801025390625,40.7837181091309,-73.9823303222656,40.7761840820313
4521,Hawkins,-73.9896240234375,40.7763862609863,-73.978401184082,40.7884864807129
4777,Hawkins,-73.9874954223633,40.7538642883301,-73.9917831420899,40.7377548217773
210,Hawkins,-73.9719161987305,40.7576522827149,-73.9884567260742,40.748218536377
2055,Hawkins,-74.0001831054688,40.7287635803223,-73.9725875854492,40.7491264343262
7839,Hawkins,-74.0124893188477,40.7070159912109,-73.9969635009766,40.7341728210449
4322,Hawkins,-74.0007705688477,40.7471656799316,-74.003547668457,40.7289810180664
5755,Hawkins,-73.9789581298828,40.7649002075195,-73.9931106567383,40.7567901611328
886,Hawkins,-74.0016784667969,40.7294006347656,-74.0053482055664,40.711238861084
7208,Hawkins,-73.9771423339844,40.7477684020996,-73.9925765991211,40.7563095092773
2364,Hawkins,-73.9561767578125,40.7717819213867,-73.9729156494141,40.7560195922852
5004,Hawkins,-74.0065689086914,40.7065582275391,-74.0105438232422,40.7039642333984
5556,Hawkins,-73.9955673217774,40.7359352111816,-73.9797286987305,40.7896308898926
8275,Hawkins,-74.0011520385742,40.7514724731445,-73.9813919067383,40.724781036377
